project_name,county,Fuel,Capacity (MW),latitude,longitude,GIM Study Phase,Interconnecting Entity,Projected COD
Indigo Quill Gas,Glasscock,GAS,370.08,31.8640224,-101.4811312,"SS Completed, FIS Started, No IA","RWE Clean Energy Development, LLC",2028-12-29
Gravitas I Natural Gas,Pecos,GAS,1247.04,30.7857437,-102.8065415,"SS Completed, FIS Started, No IA","S&S Renewables, LLC",2030-06-30
BM Great Rock Energy Center,Leon,GAS,1981.2,31.2715127,-95.9953382,"SS Completed, FIS Started, No IA",Black Mountain Energy Storage II,2029-05-15
The Giant Arc-II,Pecos,GAS,1300.0,30.7857437,-102.8065415,"SS Completed, FIS Started, No IA","Powering Knowledge, LLC",2030-04-11
Thunder Bird 1 Gas,Jack,GAS,1272.8,33.2127019,-98.1639199,"SS Started, FIS Started, No IA","Kalnin Ventures, LLC",2030-06-14
The Giant Arc I,Pecos,GAS,1300.0,30.7857437,-102.8065415,"SS Completed, FIS Started, No IA","Powering Knowledge, LLC",2030-04-08
Longleaf II Power Station,Angelina,GAS,600.0,31.2544545,-94.6181177,"SS Started, FIS Started, No IA","WattBridge Texas Holdings, LLC",2030-07-01
Alpha Power Phase 3,Guadalupe,GAS,400.1,29.6480061,-97.8279576,"SS Started, FIS Started, No IA","Palomino Alpha, LLC",2030-12-31
LOST PINES GAS RECIP PHASE 2,Bastrop,GAS,113.02,30.0541116,-97.3887764,"SS Completed, FIS Started, IA",LCRA,2033-06-01
SIM GIDEON GAS RICE,Bastrop,GAS,226.03,30.0541116,-97.3887764,"SS Completed, FIS Started, IA",LCRA,2031-05-10
SCHNEIDER GAS RICE PHASE 2,Caldwell,GAS,113.02,29.8298971,-97.5959641,"SS Completed, FIS Started, IA",LCRA,2030-12-17
Permian I Natural Gas,Pecos,GAS,1246.95,30.7857437,-102.8065415,"SS Completed, FIS Started, No IA","S&S Renewables, LLC",2030-06-30
Mule Deer Run Gas II,Anderson,GAS,1263.0,31.7819242,-95.6258199,"SS Started, FIS Started, No IA","Anderson Energy Center, LLC",2032-07-01
Mule Deer Run Gas III,Anderson,GAS,1263.0,31.7819242,-95.6258199,"SS Started, FIS Started, No IA","Anderson Energy Center, LLC",2032-07-01
Alpha Power Phase 4,Guadalupe,GAS,400.1,29.6480061,-97.8279576,"SS Started, FIS Started, No IA","Palomino Alpha, LLC",2031-12-31
Mule Deer Run Gas,Anderson,GAS,1263.0,31.7819242,-95.6258199,"SS Completed, FIS Started, No IA","Anderson Energy Center, LLC",2031-07-01
Alpha Power Phase 5,Guadalupe,GAS,400.1,29.6480061,-97.8279576,"SS Started, FIS Started, No IA","Palomino Alpha, LLC",2032-12-31
Bullock Gas,Hill,GAS,1400.0,31.9595085,-97.0881654,"SS Completed, FIS Started, No IA","Bullock Data Center, LLC",2032-07-01
Liberty Thermal Energy Center,Hill,GAS,1400.0,31.9595085,-97.0881654,"SS Completed, FIS Started, No IA","Liberty Data Center I, LLC",2032-07-01
